id,dep,nom_simple,nom,nom_espace,nom_reel,long,lat
155,1,saint-champ,SAINT-CHAMP,saint champ,Saint-Champ,5.73333,45.7833
156,1,saint-georges-sur-renon,SAINT-GEORGES-SUR-RENON,saint georges sur renon,Saint-Georges-sur-Renon,5.03333,46.1
157,1,lantenay-01,LANTENAY,lantenay,Lantenay,5.53333,46.05
158,1,vernoux,VERNOUX,vernoux,Vernoux,5.11667,46.4833
159,1,cormaranche-en-bugey,CORMARANCHE-EN-BUGEY,cormaranche en bugey,Cormaranche-en-Bugey,5.6,45.95
160,1,sainte-euphemie,SAINTE-EUPHEMIE,sainte euphemie,Sainte-Euphémie,4.78333,45.9667
161,1,beaupont,BEAUPONT,beaupont,Beaupont,5.26667,46.4
162,1,brens-01,BRENS,brens,Brens,5.69473,45.7187
163,1,ramasse,RAMASSE,ramasse,Ramasse,5.35,46.2
164,1,divonne-les-bains,DIVONNE-LES-BAINS,divonne les bains,Divonne-les-Bains,6.13333,46.3667
165,1,leaz,LEAZ,leaz,Léaz,5.88333,46.1
166,1,villes,VILLES,villes,Villes,5.78333,46.0833
167,1,saint-julien-sur-reyssouze,SAINT-JULIEN-SUR-REYSSOUZE,saint julien sur reyssouze,Saint-Julien-sur-Reyssouze,5.11667,46.4
168,1,groslee,GROSLEE,groslee,Groslée,5.56667,45.7167
169,1,vandeins,VANDEINS,vandeins,Vandeins,5.08333,46.2167
170,1,verjon,VERJON,verjon,Verjon,5.35,46.35
171,1,saint-andre-sur-vieux-jonc,SAINT-ANDRE-SUR-VIEUX-JONC,saint andre sur vieux jonc,Saint-André-sur-Vieux-Jonc,5.06667,46.15
172,1,saint-andre-d-huiriat,SAINT-ANDRE-D'HUIRIAT,saint andre d huiriat,Saint-André-d'Huiriat,4.91667,46.2167
173,1,grilly,GRILLY,grilly,Grilly,6.11667,46.3333
174,1,cessy,CESSY,cessy,Cessy,6.06667,46.3167
175,1,ordonnaz,ORDONNAZ,ordonnaz,Ordonnaz,5.53333,45.8333
176,1,vescours,VESCOURS,vescours,Vescours,5.03333,46.4667
177,1,meillonnas,MEILLONNAS,meillonnas,Meillonnas,5.35,46.25
178,1,geovreisset,GEOVREISSET,geovreisset,Géovreisset,5.6,46.25
179,1,ceyzerieu,CEYZERIEU,ceyzerieu,Ceyzérieu,5.73333,45.8333
180,1,beard-geovreissiat,BEARD-GEOVREISSIAT,beard geovreissiat,Béard-Géovreissiat,5.56667,46.2
181,1,burbanche,LA BURBANCHE,la burbanche,La Burbanche,5.56667,45.85
182,1,perrex,PERREX,perrex,Perrex,4.98333,46.2333
183,1,villemotier,VILLEMOTIER,villemotier,Villemotier,5.31667,46.35
184,1,jasseron,JASSERON,jasseron,Jasseron,5.33333,46.2167
185,1,corveissiat,CORVEISSIAT,corveissiat,Corveissiat,5.48333,46.2333
186,1,journans,JOURNANS,journans,Journans,5.33333,46.15
187,1,sermoyer,SERMOYER,sermoyer,Sermoyer,4.98333,46.5
188,1,charix,CHARIX,charix,Charix,5.68333,46.1833
189,1,arbignieu,ARBIGNIEU,arbignieu,Arbignieu,5.65,45.7333
190,1,leyssard,LEYSSARD,leyssard,Leyssard,5.46667,46.1667
191,1,saint-jean-de-thurigneux,SAINT-JEAN-DE-THURIGNEUX,saint jean de thurigneux,Saint-Jean-de-Thurigneux,4.88333,45.95
192,1,frans,FRANS,frans,Frans,4.78333,45.9833
193,1,tenay,TENAY,tenay,Tenay,5.5,45.9167
194,1,bage-la-ville,BAGE-LA-VILLE,bage la ville,Bâgé-la-Ville,4.95,46.3167
195,1,montmerle-sur-saone,MONTMERLE-SUR-SAONE,montmerle sur saone,Montmerle-sur-Saône,4.76667,46.0833
196,1,courmangoux,COURMANGOUX,courmangoux,Courmangoux,5.36667,46.3333
197,1,baneins,BANEINS,baneins,Baneins,4.9,46.1167
198,1,lagnieu,LAGNIEU,lagnieu,Lagnieu,5.35,45.9
199,1,attignat,ATTIGNAT,attignat,Attignat,5.16667,46.2833
200,1,saint-andre-de-bage,SAINT-ANDRE-DE-BAGE,saint andre de bage,Saint-André-de-Bâgé,4.91667,46.3
201,1,pont-de-vaux,PONT-DE-VAUX,pont de vaux,Pont-de-Vaux,4.93333,46.4333
202,1,amberieu-en-bugey,AMBERIEU-EN-BUGEY,amberieu en bugey,Ambérieu-en-Bugey,5.35,45.95
203,1,peyzieux-sur-saone,PEYZIEUX-SUR-SAONE,peyzieux sur saone,Peyzieux-sur-Saône,4.81667,46.1167
204,1,crozet-01,CROZET,crozet,Crozet,6.01251,46.2806
205,1,seyssel-01,SEYSSEL,seyssel,Seyssel,5.83194,45.9597
206,1,beynost,BEYNOST,beynost,Beynost,5,45.8333
207,1,versonnex-01,VERSONNEX,versonnex,Versonnex,6.09723,46.3023
208,1,saint-laurent-sur-saone,SAINT-LAURENT-SUR-SAONE,saint laurent sur saone,Saint-Laurent-sur-Saône,4.83333,46.3
209,1,artemare,ARTEMARE,artemare,Artemare,5.7,45.8667
210,1,montracol,MONTRACOL,montracol,Montracol,5.11667,46.1833
211,1,parves,PARVES,parves,Parves,5.75,45.75
212,1,pugieu,PUGIEU,pugieu,Pugieu,5.65,45.8167
213,1,virieu-le-grand,VIRIEU-LE-GRAND,virieu le grand,Virieu-le-Grand,5.65,45.85
214,1,saint-remy-01,SAINT-REMY,saint remy,Saint-Rémy,5.16667,46.1833
215,1,rance,RANCE,rance,Rancé,4.86667,45.9667
216,1,grieges,GRIEGES,grieges,Grièges,4.85,46.25
217,1,grand-corent,GRAND-CORENT,grand corent,Grand-Corent,5.43333,46.2
218,1,outriaz,OUTRIAZ,outriaz,Outriaz,5.55,46.0667
219,1,montagnieu-01,MONTAGNIEU,montagnieu,Montagnieu,5.46667,45.8
220,1,champagne-en-valromey,CHAMPAGNE-EN-VALROMEY,champagne en valromey,Champagne-en-Valromey,5.68333,45.9
221,1,amberieux-en-dombes,AMBERIEUX-EN-DOMBES,amberieux en dombes,Ambérieux-en-Dombes,4.9,46
222,1,boisse-01,LA BOISSE,la boisse,La Boisse,5.03333,45.85
223,1,parcieux,PARCIEUX,parcieux,Parcieux,4.81667,45.9167
224,1,saint-didier-d-aussiat,SAINT-DIDIER-D'AUSSIAT,saint didier d aussiat,Saint-Didier-d'Aussiat,5.06667,46.3
225,1,saint-nizier-le-bouchoux,SAINT-NIZIER-LE-BOUCHOUX,saint nizier le bouchoux,Saint-Nizier-le-Bouchoux,5.15,46.45
226,1,ars-sur-formans,ARS-SUR-FORMANS,ars sur formans,Ars-sur-Formans,4.81667,45.9833
227,1,anglefort,ANGLEFORT,anglefort,Anglefort,5.80833,45.9167
228,1,corlier,CORLIER,corlier,Corlier,5.5,46.0333
229,1,ferney-voltaire,FERNEY-VOLTAIRE,ferney voltaire,Ferney-Voltaire,6.11667,46.25
230,1,saint-maurice-de-remens,SAINT-MAURICE-DE-REMENS,saint maurice de remens,Saint-Maurice-de-Rémens,5.28333,45.95
231,1,chatillon-la-palud,CHATILLON-LA-PALUD,chatillon la palud,Châtillon-la-Palud,5.25,45.9667
232,1,saint-sulpice-01,SAINT-SULPICE,saint sulpice,Saint-Sulpice,5.04167,46.3203
233,1,saint-bois,SAINT-BOIS,saint bois,Saint-Bois,5.63333,45.7
234,1,virignin,VIRIGNIN,virignin,Virignin,5.71667,45.7167
235,1,premillieu,PREMILLIEU,premillieu,Prémillieu,5.56667,45.8667
236,1,genouilleux,GENOUILLEUX,genouilleux,Genouilleux,4.78333,46.1167
237,1,reyssouze,REYSSOUZE,reyssouze,Reyssouze,4.91667,46.4333
238,1,collonges,COLLONGES,collonges,Collonges,5.9,46.1333
239,1,saint-germain-de-joux,SAINT-GERMAIN-DE-JOUX,saint germain de joux,Saint-Germain-de-Joux,5.73333,46.1833
240,1,bregnier-cordon,BREGNIER-CORDON,bregnier cordon,Brégnier-Cordon,5.61667,45.65
241,1,saint-martin-le-chatel,SAINT-MARTIN-LE-CHATEL,saint martin le chatel,Saint-Martin-le-Châtel,5.11667,46.2833
242,1,marignieu,MARIGNIEU,marignieu,Marignieu,5.71667,45.8
243,1,neyrolles,LES NEYROLLES,les neyrolles,Neyrolles,5.63333,46.1333
244,1,sulignat,SULIGNAT,sulignat,Sulignat,4.96667,46.1667
245,1,beny,BENY,beny,Bény,5.28333,46.3333
246,1,injoux-genissiat,INJOUX-GENISSIAT,injoux genissiat,Injoux-Génissiat,5.78333,46.05
247,1,chanay,CHANAY,chanay,Chanay,5.78333,46
248,1,chatillon-sur-chalaronne,CHATILLON-SUR-CHALARONNE,chatillon sur chalaronne,Châtillon-sur-Chalaronne,4.96667,46.1167
249,1,farges-01,FARGES,farges,Farges,5.91667,46.1667
250,1,saint-alban-01,SAINT-ALBAN,saint alban,Saint-Alban,5.45,46.1
251,1,curtafond,CURTAFOND,curtafond,Curtafond,5.08333,46.2667
252,1,viriat,VIRIAT,viriat,Viriat,5.21667,46.25
253,1,belleydoux,BELLEYDOUX,belleydoux,Belleydoux,5.76667,46.25
254,1,bage-le-chatel,BAGE-LE-CHATEL,bage le chatel,Bâgé-le-Châtel,4.93333,46.3
255,1,sainte-olive,SAINTE-OLIVE,sainte olive,Sainte-Olive,4.93333,46.0167
256,1,saint-genis-sur-menthon,SAINT-GENIS-SUR-MENTHON,saint genis sur menthon,Saint-Genis-sur-Menthon,5.01667,46.2833
257,1,domsure,DOMSURE,domsure,Domsure,5.3,46.4167
258,1,chavannes-sur-suran,CHAVANNES-SUR-SURAN,chavannes sur suran,Chavannes-sur-Suran,5.41667,46.2667
