id,dep,name,long,lat
452,2,montgobert,3.15,49.3
453,2,noircourt,4.1,49.6667
454,2,rozet saint albin,3.3,49.2
455,2,chivy les etouvelles,3.58333,49.5167
456,2,chavonne,3.56667,49.4
457,2,artonges,3.55,48.9333
458,2,oisy,3.66667,50.0167
459,2,juvigny,3.31667,49.45
460,2,marchais en brie,3.48333,48.8833
461,2,bouconville vauclair,3.75556,49.4656
462,2,la bouteille,3.96667,49.8667
463,2,ly fontaine,3.3,49.7167
464,2,logny les aubenton,4.2,49.8333
465,2,cuirieux,3.81667,49.6833
466,2,iron,3.66667,49.95
467,2,joncourt,3.3,49.95
468,2,effry,4,49.9333
469,2,jumigny,3.71667,49.4167
470,2,chaourse,4,49.7
471,2,saint remy blanzy,3.3,49.2333
472,2,beaumont en beine,3.13333,49.7
473,2,le plessier huleu,3.35,49.2333
474,2,estrees,3.28333,49.9667
475,2,baulne en brie,3.61667,48.9833
476,2,guivry,3.11667,49.65
477,2,variscourt,3.98333,49.4167
478,2,chatillon sur oise,3.4,49.7833
479,2,soissons,3.33333,49.3667
480,2,bray saint christophe,3.15,49.7667
481,2,le herie la vieville,3.63333,49.8167
482,2,aubenton,4.2,49.8333
483,2,braye,3.36667,49.4333
484,2,brissay choigny,3.36667,49.7167
485,2,remaucourt,3.33333,49.9
486,2,seraucourt le grand,3.21667,49.7833
487,2,berry au bac,3.9,49.4
488,2,vivaise,3.56667,49.6167
489,2,proviseux et plesnoy,4,49.4667
490,2,caumont,3.18333,49.6167
491,2,villers le sec,3.5,49.7833
492,2,vichel nanteuil,3.28333,49.1833
493,2,romery,3.73333,49.9
494,2,fontaine les clercs,3.21667,49.8
495,2,chery les pouilly,3.6,49.65
496,2,pithon,3.1,49.75
497,2,beaurieux,3.73333,49.4
498,2,sinceny,3.25,49.6
499,2,bouffignereux,3.85,49.3667
500,2,saint gengoulph,3.21667,49.1167
501,2,pargny les bois,3.61667,49.7167
502,2,montigny l allier,3.1,49.1167
503,2,beuvardes,3.48333,49.15
504,2,cuissy et geny,3.7,49.4167
505,2,reuilly sauvigny,3.55,49.0667
506,2,vailly sur aisne,3.51667,49.4167
507,2,bievres,3.71667,49.5
508,2,berny riviere,3.15,49.4167
509,2,perles,3.65,49.3167
510,2,fontenelle en brie,3.48333,48.9167
511,2,neuflieux,3.16667,49.6
512,2,sainte croix,3.78333,49.4833
513,2,pargny la dhuys,3.55,48.95
514,2,brenelle,3.53333,49.3667
515,2,urvillers,3.31667,49.7833
516,2,laversine,3.16667,49.35
517,2,origny sainte benoite,3.5,49.8333
518,2,cuiry housse,3.48333,49.3
519,2,la neuville les dorengt,3.68333,49.9667
520,2,blanzy les fismes,3.66667,49.3333
521,2,hargicourt,3.18,49.9623
522,2,villers sur fere,3.53333,49.1833
523,2,la herie,4.05,49.8833
