id,dep,upper_name,untrimmed_name,name,long,lat
21113,55,THONNELLE,thonnelle,Thonnelle,5.36667,49.55
21114,55,MANGIENNES,mangiennes,Mangiennes,5.53333,49.35
21115,55,SAINT-JOIRE,saint joire,Saint-Joire,5.41667,48.6
21116,55,GUERPONT,guerpont,Guerpont,5.26667,48.7333
21117,55,JONVILLE-EN-WOEVRE,jonville en woevre,Jonville-en-Woëvre,5.78333,49.0667
21118,55,HENNEMONT,hennemont,Hennemont,5.66667,49.1333
21119,55,EVRES,evres,Èvres,5.11667,48.9833
21120,55,JUVIGNY-EN-PERTHOIS,juvigny en perthois,Juvigny-en-Perthois,5.15,48.6
21121,55,CESSE,cesse,Cesse,5.16667,49.5167
21122,55,LAMORVILLE,lamorville,Lamorville,5.58333,48.9667
21123,55,ROUVRES-EN-WOEVRE,rouvres en woevre,Rouvres-en-Woëvre,5.68333,49.2167
21124,55,RAMBLUZIN-ET-BENOITE-VAUX,rambluzin et benoite vaux,Rambluzin-et-Benoite-Vaux,5.33333,49
21125,55,NUBECOURT,nubecourt,Nubécourt,5.16667,49
21126,55,AVILLERS-SAINTE-CROIX,avillers sainte croix,Avillers-Sainte-Croix,5.7,49.0333
21127,55,BELRUPT-EN-VERDUNOIS,belrupt en verdunois,Belrupt-en-Verdunois,5.43333,49.1333
21128,55,BREUX,breux,Breux,5.38333,49.6
21129,55,HAUDAINVILLE,haudainville,Haudainville,5.41667,49.1167
21130,55,RIAVILLE,riaville,Riaville,5.66667,49.1
21131,55,MONTBRAS,montbras,Montbras,5.69389,48.5281
21132,55,LACROIX-SUR-MEUSE,lacroix sur meuse,Lacroix-sur-Meuse,5.51667,48.9667
21133,55,LAHEYCOURT,laheycourt,Laheycourt,5.01667,48.8833
21134,55,BETHELAINVILLE,bethelainville,Béthelainville,5.23333,49.1667
21135,55,ANCEMONT,ancemont,Ancemont,5.41667,49.0667
21136,55,NEUVILLY-EN-ARGONNE,neuvilly en argonne,Neuvilly-en-Argonne,5.06667,49.1667
21137,55,VAUX-DEVANT-DAMLOUP,vaux devant damloup,Vaux-devant-Damloup,5.46667,49.2167
21138,55,PAGNY-SUR-MEUSE,pagny sur meuse,Pagny-sur-Meuse,5.71667,48.6833
21139,55,BONNET,bonnet,Bonnet,5.43333,48.5167
21140,55,MOUZAY,mouzay,Mouzay,5.21667,49.4667
21141,55,VOUTHON-BAS,vouthon bas,Vouthon-Bas,5.6,48.4833
21142,55,CHAILLON,chaillon,Chaillon,5.63333,48.95
21143,55,SOMMEDIEUE,sommedieue,Sommedieue,5.46667,49.0833
21144,55,ERIZE-LA-BRULEE,erize la brulee,Érize-la-Brûlée,5.26667,48.85
21145,55,ERIZE-SAINT-DIZIER,erize saint dizier,Érize-Saint-Dizier,5.28333,48.8167
21146,55,BRABANT-LE-ROI,brabant le roi,Brabant-le-Roi,4.98333,48.85
21147,55,THONNE-LE-THIL,thonne le thil,Thonne-le-Thil,5.35,49.5833
21148,55,MONTBLAINVILLE,montblainville,Montblainville,5.01667,49.25
21149,55,GOUSSAINCOURT,goussaincourt,Goussaincourt,5.7,48.4833
21150,55,RANCOURT-SUR-ORNAIN,rancourt sur ornain,Rancourt-sur-Ornain,4.91667,48.8167
